,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
0,44,2022-23,2.2,1.9,0.4,0.2,0.1,0.3,Precious Achiuwa,1,1630173,1,0.091,0.269,0.178,0.562,0.093
1,52,2022-23,3,1.6,0.3,0.2,0.2,0.3,Precious Achiuwa,2,1630173,-6.6,0.081,0.166,0.186,0.573,0.06
2,44,2022-23,2.1,1.8,0.2,0,0.1,0.2,Precious Achiuwa,3,1630173,1.5,0.08,0.257,0.16,0.518,0.05
3,50,2022-23,3.3,1.7,0.2,0.3,0.2,0.4,Precious Achiuwa,4,1630173,-0.7,0.083,0.192,0.226,0.561,0.05
4,42,2022-23,3,3.5,0.8,0.3,0.4,0.5,Steven Adams,1,203500,3.8,0.144,0.235,0.158,0.574,0.119
5,42,2022-23,2.2,3,0.5,0.2,0.2,0.4,Steven Adams,2,203500,14.3,0.203,0.211,0.145,0.542,0.108
6,42,2022-23,2.3,3.3,0.6,0.3,0.3,0.6,Steven Adams,3,203500,12.2,0.156,0.243,0.13,0.576,0.091
7,29,2022-23,1.5,2.6,0.6,0.1,0.2,0.5,Steven Adams,4,203500,9.9,0.198,0.179,0.116,0.561,0.119
8,75,2022-23,5,2.1,0.8,0.3,0.2,0.6,Bam Adebayo,1,1628389,1.7,0.075,0.192,0.253,0.582,0.155
9,74,2022-23,5.2,2.3,0.9,0.2,0.2,0.6,Bam Adebayo,2,1628389,1.2,0.07,0.215,0.267,0.575,0.186
10,74,2022-23,4.7,2.4,0.6,0.2,0.2,0.7,Bam Adebayo,3,1628389,-4.3,0.076,0.219,0.245,0.564,0.124
11,71,2022-23,5.8,2.5,0.9,0.5,0.2,0.7,Bam Adebayo,4,1628389,8.4,0.075,0.194,0.241,0.644,0.155
12,43,2022-23,3.1,0.7,0.5,0.1,0.1,0.3,Ochai Agbaji,1,1630534,-3.9,0.024,0.053,0.167,0.587,0.088
13,47,2022-23,1.8,0.6,0.3,0.1,0,0.2,Ochai Agbaji,2,1630534,0.5,0.03,0.056,0.143,0.445,0.068
14,41,2022-23,2.9,0.7,0.5,0.1,0.1,0.3,Ochai Agbaji,3,1630534,-1.3,0.052,0.052,0.155,0.621,0.085
15,53,2022-23,2.5,0.6,0.2,0.1,0.1,0.1,Ochai Agbaji,4,1630534,4.1,0.032,0.071,0.152,0.585,0.042
16,77,2022-23,2.8,1.4,0.4,0.2,0.2,0.2,Santi Aldama,1,1630583,4.5,0.039,0.168,0.165,0.599,0.086
17,74,2022-23,2.6,1.4,0.4,0.2,0.2,0.2,Santi Aldama,2,1630583,6.1,0.057,0.171,0.155,0.63,0.081
18,75,2022-23,2.7,1.3,0.4,0.2,0.1,0.2,Santi Aldama,3,1630583,4.6,0.048,0.146,0.164,0.603,0.076
19,61,2022-23,1.5,1.1,0.2,0.1,0.2,0.2,Santi Aldama,4,1630583,-9.1,0.048,0.164,0.14,0.5,0.054
20,39,2022-23,1.9,0.7,0.5,0.2,0.1,0.3,Nickeil Alexander-Walker,1,1629638,1.5,0.04,0.113,0.161,0.72,0.178
21,45,2022-23,2.5,0.7,1,0.2,0,0.4,Nickeil Alexander-Walker,2,1629638,-2.4,0.011,0.099,0.194,0.499,0.203
22,40,2022-23,1.8,0.3,0.4,0.2,0.1,0.2,Nickeil Alexander-Walker,3,1629638,5.4,0.006,0.066,0.172,0.599,0.134
23,51,2022-23,2,0.6,0.6,0.2,0.2,0.4,Nickeil Alexander-Walker,4,1629638,-7.3,0.014,0.097,0.174,0.536,0.15
24,72,2022-23,3.1,1,0.7,0.2,0.1,0.2,Grayson Allen,1,1628960,10.8,0.03,0.093,0.14,0.679,0.119
25,72,2022-23,2.2,0.9,0.5,0.2,0.1,0.3,Grayson Allen,2,1628960,-2.6,0.036,0.092,0.158,0.497,0.11
26,70,2022-23,2.7,0.8,0.4,0.2,0,0.2,Grayson Allen,3,1628960,-1,0.032,0.079,0.139,0.608,0.078
27,62,2022-23,2.8,0.7,0.7,0.3,0.1,0.3,Grayson Allen,4,1628960,12.4,0.023,0.065,0.131,0.669,0.121
28,68,2022-23,4.5,2.6,0.5,0.3,0.3,0.3,Jarrett Allen,1,1628386,5.9,0.103,0.206,0.186,0.641,0.084
29,66,2022-23,3.6,2.2,0.4,0.2,0.3,0.4,Jarrett Allen,2,1628386,9.6,0.09,0.208,0.167,0.718,0.085
30,66,2022-23,3.7,2.8,0.4,0.2,0.4,0.4,Jarrett Allen,3,1628386,1.7,0.108,0.233,0.155,0.662,0.06
31,61,2022-23,2.9,2.4,0.3,0.1,0.3,0.4,Jarrett Allen,4,1628386,12.4,0.127,0.196,0.14,0.673,0.067
32,52,2022-23,2.3,0.6,0.9,0.3,0.1,0.3,Jose Alvarado,1,1630631,7.3,0.022,0.082,0.186,0.568,0.222
33,60,2022-23,2.7,0.7,1,0.3,0,0.5,Jose Alvarado,2,1630631,2.9,0.024,0.085,0.209,0.516,0.218
34,53,2022-23,2.1,0.5,0.7,0.3,0.1,0.3,Jose Alvarado,3,1630631,4,0.026,0.076,0.179,0.518,0.179
35,55,2022-23,2.7,0.8,0.9,0.3,0,0.4,Jose Alvarado,4,1630631,1.9,0.016,0.1,0.187,0.504,0.181
36,69,2022-23,2.6,1.1,1.1,0.3,0.2,0.2,Kyle Anderson,1,203937,9.5,0.03,0.122,0.141,0.609,0.192
37,64,2022-23,2.2,1.4,1.3,0.3,0.2,0.5,Kyle Anderson,2,203937,6.9,0.032,0.16,0.15,0.554,0.243
38,66,2022-23,2.7,1.5,1.3,0.3,0.2,0.5,Kyle Anderson,3,203937,-5.3,0.028,0.193,0.151,0.624,0.224
39,65,2022-23,2.2,1.4,1.3,0.3,0.3,0.3,Kyle Anderson,4,203937,-0.7,0.045,0.131,0.131,0.544,0.243
40,63,2022-23,7.9,3.5,1.5,0.3,0.2,1,Giannis Antetokounmpo,1,203507,10.1,0.079,0.296,0.356,0.609,0.283
41,62,2022-23,6.8,2.7,1.5,0.2,0.2,0.9,Giannis Antetokounmpo,2,203507,2.9,0.06,0.267,0.34,0.597,0.345
42,61,2022-23,9.1,3,1.4,0.2,0.1,1,Giannis Antetokounmpo,3,203507,7.1,0.069,0.255,0.4,0.616,0.28
43,56,2022-23,8.6,3,1.5,0.2,0.2,1.1,Giannis Antetokounmpo,4,203507,8.7,0.05,0.257,0.395,0.609,0.358
44,3,2022-23,4,1.3,0.3,0,0,0,Thanasis Antetokounmpo,1,203648,-39.7,0.056,0.176,0.222,0.6,0.1
45,4,2022-23,1,1.5,1,0,0,0.2,Thanasis Antetokounmpo,2,203648,7.4,0.143,0.15,0.131,0.291,0.2
46,5,2022-23,1.2,0.6,0.2,0,0.2,0.4,Thanasis Antetokounmpo,3,203648,-46,0,0.15,0.1,0.798,0.071
47,37,2022-23,0.8,0.8,0.2,0.1,0.1,0.2,Thanasis Antetokounmpo,4,203648,-27.2,0.085,0.132,0.135,0.414,0.103
48,60,2022-23,2.8,0.9,0.8,0.2,0.1,0.2,Cole Anthony,1,1630175,-1.2,0.028,0.129,0.2,0.602,0.208
49,60,2022-23,3.8,1.3,1.2,0.2,0.2,0.5,Cole Anthony,2,1630175,-2.6,0.033,0.136,0.202,0.622,0.239
50,59,2022-23,2.6,1,0.7,0.1,0.1,0.4,Cole Anthony,3,1630175,-1.4,0.025,0.164,0.22,0.53,0.21
51,60,2022-23,3.8,1.6,1.3,0.2,0.2,0.5,Cole Anthony,4,1630175,2.7,0.032,0.176,0.215,0.53,0.243
52,67,2022-23,4.3,1.2,0.6,0.6,0.3,0.6,OG Anunoby,1,1628384,1.1,0.024,0.107,0.189,0.581,0.079
53,67,2022-23,4.4,1.1,0.5,0.4,0.1,0.4,OG Anunoby,2,1628384,1.8,0.035,0.107,0.204,0.593,0.096
54,66,2022-23,4.6,1.4,0.4,0.6,0.2,0.5,OG Anunoby,3,1628384,2.1,0.053,0.109,0.19,0.599,0.066
55,61,2022-23,3.8,1.4,0.5,0.3,0.2,0.5,OG Anunoby,4,1628384,7.7,0.039,0.121,0.184,0.57,0.082
56,6,2022-23,0.8,0.8,1,0,0,0.3,Ryan Arcidiacono,1,1627853,-0.2,0,0.147,0.113,0.357,0.222
57,6,2022-23,1,0.3,1,0.3,0,0.3,Ryan Arcidiacono,2,1627853,-31.2,0,0.067,0.132,0.3,0.286
58,6,2022-23,0.5,0.3,0.3,0,0,0,Ryan Arcidiacono,3,1627853,-16.1,0,0.069,0.119,0.188,0.1
59,19,2022-23,0.6,0.3,0.5,0.2,0,0.2,Ryan Arcidiacono,4,1627853,-7.9,0,0.081,0.084,0.5,0.18
60,76,2022-23,2.7,1.7,0.7,0.2,0.1,0.3,Deni Avdija,1,1630166,8,0.037,0.19,0.17,0.525,0.114
61,75,2022-23,2.4,1.6,0.8,0.2,0.1,0.5,Deni Avdija,2,1630166,-3.5,0.042,0.195,0.17,0.538,0.167
62,72,2022-23,2.3,1.7,0.9,0.3,0.1,0.5,Deni Avdija,3,1630166,-1.7,0.029,0.211,0.154,0.564,0.168
63,62,2022-23,2.4,1.8,0.6,0.2,0.1,0.5,Deni Avdija,4,1630166,-7.9,0.045,0.188,0.164,0.515,0.121
64,67,2022-23,5.3,2.9,0.5,0.1,0.1,0.4,Deandre Ayton,1,1629028,1.1,0.06,0.265,0.244,0.583,0.081
