GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
35,ALL,4.4,1.3,0.6,0.2,0,0.3,A.J. Green,MIL
9,Road,3.2,1.1,0.1,0.1,0,0.1,A.J. Lawson,
6,Home,4.5,1.8,0.2,0.2,0,0.3,A.J. Lawson,
15,ALL,3.7,1.4,0.1,0.1,0,0.2,A.J. Lawson,TOT
16,Road,5.4,1.2,0.3,0.1,0,0.2,AJ Green,
19,Home,3.6,1.4,0.9,0.3,0,0.3,AJ Green,
36,Home,9,2.4,1,0.8,0.1,0.5,AJ Griffin,
36,Road,8.8,1.9,1,0.4,0.2,0.7,AJ Griffin,
72,ALL,8.9,2.1,1,0.6,0.2,0.6,AJ Griffin,ATL
68,ALL,16.3,6.6,3,0.8,0.8,1.4,Aaron Gordon,DEN
37,Home,14.9,6.4,3,0.8,0.8,1.4,Aaron Gordon,
31,Road,18,6.7,3,0.7,0.7,1.5,Aaron Gordon,
63,ALL,3.9,1.2,1.4,0.6,0.2,0.6,Aaron Holiday,ATL
30,Road,4.5,1.4,1.7,0.6,0.3,0.6,Aaron Holiday,
33,Home,3.4,0.9,1.1,0.6,0.1,0.6,Aaron Holiday,
37,Home,11.4,4.2,1.4,0.8,0.6,1.1,Aaron Nesmith,
36,Road,8.8,3.4,1.3,0.7,0.3,1,Aaron Nesmith,
73,ALL,10.1,3.8,1.3,0.8,0.5,1,Aaron Nesmith,IND
70,ALL,6.8,3,1.1,0.6,0.2,0.8,Aaron Wiggins,OKC
33,Road,5.3,2.7,1,0.4,0.2,0.7,Aaron Wiggins,
37,Home,8.2,3.3,1.3,0.7,0.3,0.9,Aaron Wiggins,
20,Home,3.5,1.6,0.9,0.2,0.2,0.4,Admiral Schofield,
37,ALL,4.2,1.7,0.8,0.2,0.1,0.4,Admiral Schofield,ORL
17,Road,5,1.8,0.8,0.2,0.1,0.5,Admiral Schofield,
35,Home,10.7,6.5,3,0.4,1.1,0.7,Al Horford,
28,Road,8.6,5.8,3,0.6,0.8,0.5,Al Horford,
63,ALL,9.8,6.2,3,0.5,1,0.6,Al Horford,BOS
51,ALL,12.8,3.1,2.2,0.7,0.2,1.1,Alec Burks,DET
25,Home,10.9,3.2,2.3,0.6,0.1,1.2,Alec Burks,
26,Road,14.6,3,2.2,0.8,0.2,1.1,Alec Burks,
19,Home,8.5,4.5,1.7,0.8,1.3,1.3,Aleksej Pokusevski,
34,ALL,8.1,4.7,1.9,0.6,1.3,1.3,Aleksej Pokusevski,OKC
15,Road,7.6,4.9,2.1,0.3,1.2,1.3,Aleksej Pokusevski,
35,Road,5.3,3.3,2.7,1.3,0.6,1.4,Alex Caruso,
67,ALL,5.6,2.9,2.9,1.5,0.7,1.1,Alex Caruso,CHI
32,Home,5.8,2.5,3,1.7,0.8,0.9,Alex Caruso,
