Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
0,35,ALL,4.4,1.3,0.6,0.2,0.0,0.3,A.J. Green,MIL,,,,,,,
3,15,ALL,3.7,1.4,0.1,0.1,0.0,0.2,A.J. Lawson,TOT,1630639.0,-20.1,0.046,0.152,0.189,0.589,0.032
2,6,Home,4.5,1.8,0.2,0.2,0.0,0.3,A.J. Lawson,,1630639.0,-35.4,0.057,0.127,0.199,0.538,0.032
1,9,Road,3.2,1.1,0.1,0.1,0.0,0.1,A.J. Lawson,,1630639.0,-3.6,0.033,0.182,0.18,0.646,0.032
5,19,Home,3.6,1.4,0.9,0.3,0.0,0.3,AJ Green,,1631260.0,-7.9,0.015,0.12,0.141,0.536,0.123
4,16,Road,5.4,1.2,0.3,0.1,0.0,0.2,AJ Green,,1631260.0,-1.0,0.019,0.09,0.182,0.679,0.05
8,72,ALL,8.9,2.1,1.0,0.6,0.2,0.6,AJ Griffin,ATL,1631100.0,1.5,0.026,0.08,0.174,0.577,0.07
6,36,Home,9.0,2.4,1.0,0.8,0.1,0.5,AJ Griffin,,1631100.0,4.6,0.03,0.087,0.184,0.556,0.074
7,36,Road,8.8,1.9,1.0,0.4,0.2,0.7,AJ Griffin,,1631100.0,-1.5,0.021,0.074,0.164,0.6,0.067
9,68,ALL,16.3,6.6,3.0,0.8,0.8,1.4,Aaron Gordon,DEN,203932.0,12.1,0.086,0.136,0.206,0.617,0.129
10,37,Home,14.9,6.4,3.0,0.8,0.8,1.4,Aaron Gordon,,203932.0,20.2,0.091,0.131,0.204,0.588,0.128
11,31,Road,18.0,6.7,3.0,0.7,0.7,1.5,Aaron Gordon,,203932.0,3.1,0.081,0.143,0.209,0.648,0.132
12,63,ALL,3.9,1.2,1.4,0.6,0.2,0.6,Aaron Holiday,ATL,1628988.0,0.9,0.028,0.059,0.129,0.528,0.135
14,33,Home,3.4,0.9,1.1,0.6,0.1,0.6,Aaron Holiday,,1628988.0,-1.9,0.02,0.061,0.121,0.609,0.126
13,30,Road,4.5,1.4,1.7,0.6,0.3,0.6,Aaron Holiday,,1628988.0,3.1,0.033,0.057,0.136,0.474,0.141
17,73,ALL,10.1,3.8,1.3,0.8,0.5,1.0,Aaron Nesmith,IND,1630174.0,-4.7,0.033,0.119,0.168,0.566,0.073
15,37,Home,11.4,4.2,1.4,0.8,0.6,1.1,Aaron Nesmith,,1630174.0,-2.9,0.039,0.121,0.162,0.594,0.069
16,36,Road,8.8,3.4,1.3,0.7,0.3,1.0,Aaron Nesmith,,1630174.0,-7.0,0.027,0.116,0.175,0.531,0.079
18,70,ALL,6.8,3.0,1.1,0.6,0.2,0.8,Aaron Wiggins,OKC,1630598.0,1.5,0.05,0.109,0.143,0.607,0.084
20,37,Home,8.2,3.3,1.3,0.7,0.3,0.9,Aaron Wiggins,,1630598.0,4.6,0.055,0.11,0.154,0.626,0.089
19,33,Road,5.3,2.7,1.0,0.4,0.2,0.7,Aaron Wiggins,,1630598.0,-2.6,0.044,0.108,0.129,0.577,0.077
22,37,ALL,4.2,1.7,0.8,0.2,0.1,0.4,Admiral Schofield,ORL,1629678.0,-8.3,0.047,0.092,0.139,0.587,0.103
21,20,Home,3.5,1.6,0.9,0.2,0.2,0.4,Admiral Schofield,,1629678.0,-10.7,0.05,0.088,0.119,0.604,0.112
23,17,Road,5.0,1.8,0.8,0.2,0.1,0.5,Admiral Schofield,,1629678.0,-5.6,0.044,0.098,0.159,0.573,0.092
26,63,ALL,9.8,6.2,3.0,0.5,1.0,0.6,Al Horford,BOS,201143.0,7.8,0.039,0.159,0.119,0.631,0.128
24,35,Home,10.7,6.5,3.0,0.4,1.1,0.7,Al Horford,,201143.0,10.5,0.039,0.166,0.122,0.673,0.129
25,28,Road,8.6,5.8,3.0,0.6,0.8,0.5,Al Horford,,201143.0,4.2,0.039,0.149,0.115,0.576,0.127
27,51,ALL,12.8,3.1,2.2,0.7,0.2,1.1,Alec Burks,DET,202692.0,-1.0,0.017,0.124,0.218,0.602,0.15
28,25,Home,10.9,3.2,2.3,0.6,0.1,1.2,Alec Burks,,202692.0,-5.1,0.02,0.129,0.205,0.581,0.159
29,26,Road,14.6,3.0,2.2,0.8,0.2,1.1,Alec Burks,,202692.0,2.7,0.013,0.119,0.23,0.618,0.142
31,34,ALL,8.1,4.7,1.9,0.6,1.3,1.3,Aleksej Pokusevski,OKC,1630197.0,-12.7,0.058,0.16,0.179,0.522,0.13
30,19,Home,8.5,4.5,1.7,0.8,1.3,1.3,Aleksej Pokusevski,,1630197.0,-11.8,0.065,0.145,0.186,0.503,0.116
32,15,Road,7.6,4.9,2.1,0.3,1.2,1.3,Aleksej Pokusevski,,1630197.0,-13.8,0.047,0.178,0.168,0.551,0.148
34,67,ALL,5.6,2.9,2.9,1.5,0.7,1.1,Alex Caruso,CHI,1627936.0,6.1,0.028,0.099,0.109,0.588,0.155
35,32,Home,5.8,2.5,3.0,1.7,0.8,0.9,Alex Caruso,,1627936.0,11.4,0.019,0.097,0.1,0.695,0.168
33,35,Road,5.3,3.3,2.7,1.3,0.6,1.4,Alex Caruso,,1627936.0,1.6,0.035,0.1,0.116,0.509,0.143
38,26,ALL,1.7,2.3,0.5,0.2,0.4,0.6,Alex Len,SAC,203458.0,6.6,0.143,0.194,0.132,0.58,0.099
36,14,Home,1.9,2.1,0.4,0.1,0.4,0.7,Alex Len,,203458.0,-10.9,0.167,0.179,0.15,0.67,0.115
37,12,Road,1.4,2.6,0.5,0.2,0.5,0.5,Alex Len,,203458.0,22.6,0.119,0.206,0.114,0.482,0.087
